id_material,titulo,tipo,area,nivel,descricao,autor
2494,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2495,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2496,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2497,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2498,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2499,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2500,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2501,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2502,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2503,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2504,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2505,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2506,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2507,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2508,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2509,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2510,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2511,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2512,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2513,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2514,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2515,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2516,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2517,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2518,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2519,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2520,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2521,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2522,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2523,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2524,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2525,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2526,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2527,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2528,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2529,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2530,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2531,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2532,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2533,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2534,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2535,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2536,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2537,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2538,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2539,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2540,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2541,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2542,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2543,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2544,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2545,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2546,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2547,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2548,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2549,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2550,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2551,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2552,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2553,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2554,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2555,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2556,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2557,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2558,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2559,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2560,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2561,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2562,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2563,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2564,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2565,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2566,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2567,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2568,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2569,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2570,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2571,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2572,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2573,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2574,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2575,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2576,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2577,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2578,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2579,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2580,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2581,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2582,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2583,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2584,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2585,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2586,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2587,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2588,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2589,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2590,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2591,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2592,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2593,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2594,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2595,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2596,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2597,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2598,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2599,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2600,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2601,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2602,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2603,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2604,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2605,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2606,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2607,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2608,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2609,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2610,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2611,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2612,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2613,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2614,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2615,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2616,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2617,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2618,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2619,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2620,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2621,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2622,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2623,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2624,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2625,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2626,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2627,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2628,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2629,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2630,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2631,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2632,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2633,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2634,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2635,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2636,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2637,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2638,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2639,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2640,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2641,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2642,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2643,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2644,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2645,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2646,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2647,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2648,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2649,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2650,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2651,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2652,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2653,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2654,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2655,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2656,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2657,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2658,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2659,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2660,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2661,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2662,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2663,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2664,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2665,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2666,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2667,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2668,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2669,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2670,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2671,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2672,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2673,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2674,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2675,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2676,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2677,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2678,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2679,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2680,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2681,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2682,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2683,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2684,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2685,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2686,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2687,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2688,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2689,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2690,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2691,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2692,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2693,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2694,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2695,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2696,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2697,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2698,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2699,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2700,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2701,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2702,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2703,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2704,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2705,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2706,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2707,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2708,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2709,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2710,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2711,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2712,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2713,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2714,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2715,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2716,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2717,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2718,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2719,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2720,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2721,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2722,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2723,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2724,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2725,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2726,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2727,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2728,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2729,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2730,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2731,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2732,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2733,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2734,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2735,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2736,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2737,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2738,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2739,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2740,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2741,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2742,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2743,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2744,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2745,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2746,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2747,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2748,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2749,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2750,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2751,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2752,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2753,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2754,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2755,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2756,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2757,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2758,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2759,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2760,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2761,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2762,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2763,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2764,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2765,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2766,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2767,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2768,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2769,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2770,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2771,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2772,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
2773,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
2774,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
2775,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
2776,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
2777,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
2778,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
2779,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
2780,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
2781,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2782,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
